designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
Gaia DR3 6730560202088495616,6730560202088495616,280.9278484,-36.69180698,-0.01261038358,-0.906820658,-2.757907687,1.0299107,18.960773,0.79808044,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5420.7734,4.7797,-2.632,3219.6218,0.0035,0.0029,0.0016
Gaia DR3 6730560206370635008,6730560206370635008,280.9242558,-36.69731572,-0.3097888578,-1.809569798,-8.442967348,0.9999742,19.88711,1.0869617,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 6730560206370640384,6730560206370640384,280.9276176,-36.69152886,,,,,20.8194,,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 6730560206370643840,6730560206370643840,280.9207991,-36.69744665,-0.02457701426,-1.587224023,-7.884755949,0.99656117,18.628666,0.9642277,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5110.054,4.767,-2.7664,2338.1477,0.0113,0.0092,0.005
Gaia DR3 6730560206370644480,6730560206370644480,280.925502,-36.69273867,0.01350493003,4.061730479,-0.5105667528,1.0023385,19.306347,1.1653824,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 6730560206370645888,6730560206370645888,280.9181144,-36.6995337,0.105170379,0.09022203705,1.529145215,1.0629189,18.33265,1.1777058,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4690.863,4.8295,-1.403,1544.0287,0.0134,0.0105,0.0057
Gaia DR3 6730560206370648704,6730560206370648704,280.9262451,-36.69047841,-0.212383277,-2.447050839,-3.532673702,0.9662709,19.818836,1.3087959,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 6730560206370648960,6730560206370648960,280.9184754,-36.69791466,0.7036502451,2.834805014,-6.558352262,0.96298105,20.116531,1.1211491,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 6730560206370653568,6730560206370653568,280.9173501,-36.69724833,-0.5470938812,-7.54755076,-6.631518724,0.9611085,19.353699,0.8918438,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 6730560206370655104,6730560206370655104,280.9225496,-36.6913937,0.2441365344,-1.632084532,-5.573098959,1.0324652,19.974232,0.8804436,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 6730905109424641408,6730905109424641408,284.9097439,-36.63584914,0.09300209728,0.9488519041,-2.075261863,0.9747639,18.996454,,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 6730905109424641536,6730905109424641536,284.9111125,-36.63512532,,,,,18.51917,,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 6730905109424642048,6730905109424642048,284.9096424,-36.63461441,3.096037494,-6.471842246,-5.225314429,1.2671585,18.757753,,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 6730905109424642176,6730905109424642176,284.9093487,-36.63542862,0.1018678027,1.031573121,-2.75486697,1.169763,16.56677,0.9864483,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,
Gaia DR3 6730905109424642432,6730905109424642432,284.9088592,-36.63633457,-0.2443951097,1.090237947,-2.170159057,1.9568437,15.948138,1.0915079,,NOT_AVAILABLE,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,
Gaia DR3 6730905109424643328,6730905109424643328,284.9072273,-36.63935225,,,,,18.918762,,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 6730905109424648448,6730905109424648448,284.9129753,-36.6333777,,,,,19.199009,,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 6730905109424648576,6730905109424648576,284.9125919,-36.63268603,,,,,18.537508,,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 6730905109424648704,6730905109424648704,284.9126208,-36.63310657,-1.061201931,0.3551965202,-3.398271269,1.2102857,18.429327,0.8932991,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 6730905109424648832,6730905109424648832,284.9133487,-36.63269988,,,,,18.872124,,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 6730905109424651776,6730905109424651776,284.9077266,-36.63844558,,,,,18.258566,0.8639984,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 6730905109424652800,6730905109424652800,284.9054253,-36.63841999,-0.542973642,0.7515139371,-2.616920546,1.4199964,18.366161,,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 6730905109424653184,6730905109424653184,284.9052952,-36.63913935,0.7597204934,2.764249971,-2.600784736,1.9526073,18.226063,0.9172077,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,
Gaia DR3 6730905109424653312,6730905109424653312,284.9054807,-36.6395488,-1.576402545,2.710291452,-2.35448418,1.9307983,18.448114,,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 6730905109424653568,6730905109424653568,284.906549,-36.63940301,-0.2749073792,0.8825109614,-2.078918592,1.2040749,17.409893,0.93333435,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,
Gaia DR3 6730905109424654080,6730905109424654080,284.9122929,-36.63128442,-0.3249273477,-1.040427383,-5.097255365,1.1561676,18.030182,0.8812008,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,5427.968,4.6733,-3.3166,2283.1182,0.0326,0.027,0.0149
Gaia DR3 6730905109424654208,6730905109424654208,284.9135364,-36.63148767,-0.1100250125,1.683154671,-2.132994643,1.1419467,18.573689,,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 6730905109424655616,6730905109424655616,284.9134076,-36.6320908,,,,,19.294971,,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 6730447609518619648,6730447609518619648,280.2763126,-37.00251455,,,,,20.841864,1.7273731,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 6730447609522779264,6730447609522779264,280.2736481,-37.01224738,0.3945099242,-0.6994558767,-5.301822856,0.9997774,17.971836,1.0306377,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,4988.5703,4.8188,-2.02,1547.5071,0.0284,0.0229,0.0125
Gaia DR3 6730447609522780800,6730447609522780800,280.2695662,-37.01001562,0.2799632674,-0.4343217948,-3.758283962,1.5737963,16.935944,0.9442558,,NOT_AVAILABLE,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,5293.201,4.7135,-1.281,1330.9901,0.0235,0.0192,0.0104
